chain_id,chain_name,product_group_ids,default_product_group_id
117710,Макдоналдс,"[6, 26]",6.0
135298,Макдоналдс,"[6, 26]",6.0
18626,Пить Кофе,"[1, 2, 27, 34, 51]",27.0
124462,Макдоналдс,"[6, 26]",6.0
114386,ЛИНИЯ ВКУСА,"[1, 2, 3, 18]",2.0
157322,KFC,"[6, 26]",6.0
139506,Макдоналдс,"[6, 26]",6.0
124790,Макдоналдс,"[6, 26]",6.0
175962,Really Grilly,"[5, 19]",19.0
59978,ДЖекина Доставка,"[1, 2, 6, 18]",2.0
126374,Макдоналдс,"[6, 26]",6.0
123866,Макдоналдс,"[6, 26]",6.0
131726,Сэндвич&Паста,"[23, 29, 43]",43.0
129714,Cinnabon,"[27, 30]",30.0
133974,Макдоналдс,"[6, 26]",6.0
164182,PIZZA FUNK,[1],1.0
116890,ШАУРМА В ПИТЕ,[19],19.0
171602,Веста пицца,"[1, 42]",1.0
120694,Макдоналдс,"[6, 26]",6.0
137562,Макдоналдс,"[6, 26]",6.0
128194,Теремок,"[24, 33, 43]",43.0
172090,МАНГАЛКЛАБ ,"[1, 2, 5, 26]",26.0
43078,ArtFood,"[23, 24, 27, 43, 51]",23.0
172394,KFC,"[6, 26]",6.0
160594,ШИПР,[43],43.0
127194,Макдоналдс,"[6, 26]",6.0
81870,Burger King,"[6, 26]",6.0
162334,KFC,"[6, 26]",6.0
173762,Фан-Beer,[1],1.0
174410,Восточная шаурма,"[19, 26]",19.0
139562,Макдоналдс,"[6, 26]",6.0
157446,KFC,"[6, 26]",6.0
47378,Гриль Мания,[5],5.0
178322,Маккамбургер,"[1, 2, 6, 43]",6.0
120634,KFC,"[6, 26]",6.0
136794,Макдоналдс,"[6, 26]",6.0
172246,Шаурма на Фабричной,"[6, 19]",19.0
129406,Burger King,"[6, 26]",6.0
113666,Зарафшан,"[22, 44]",44.0
138862,SaVaGa,"[25, 30, 37]",37.0
150222,Kebab Bar,"[5, 25]",5.0
154814,Black & White,"[25, 44]",44.0
153542,Вермишель,"[1, 20, 25]",20.0
118882,My Asia,"[2, 40]",2.0
112582,СУШИ Rolls,[2],2.0
108982,Лаваш,"[5, 23]",5.0
165578,Pizza Express,[1],1.0
135306,Макдоналдс,"[6, 26]",6.0
120590,KFC,"[6, 26]",6.0
174282,Foodtaxi,"[1, 2]",1.0
125530,Макдоналдс,"[6, 26]",6.0
158654,Шеф на районе,"[23, 26, 34, 36]",26.0
178082,Плов Хауз,"[1, 2, 18, 44]",44.0
140074,TomYumBar,"[2, 36, 39]",2.0
81726,Subway,"[26, 29]",29.0
143230,Теремок,"[24, 33, 43]",43.0
19938,Миндаль,"[25, 38, 40, 44]",38.0
126246,KFC,"[6, 26]",6.0
166598,БЛИНБЕРИ,"[26, 33, 34, 43]",43.0
172542,Макдоналдс,"[6, 26]",6.0
162806,Буханка,"[27, 30]",30.0
126386,Макдоналдс,"[6, 26]",6.0
136826,Макдоналдс,"[6, 26]",6.0
121526,KFC,"[6, 26]",6.0
134130,ШАУРМА МАРКЕТ,"[5, 19, 26, 35]",26.0
117202,OranG,"[1, 2, 51]",1.0
138662,Макдоналдс,"[6, 26]",6.0
128566,BAZAR,"[5, 27, 37, 44]",37.0
177134,Макдоналдс,"[6, 26]",6.0
154486,Наша Пекарня,"[1, 30]",30.0
106194,Эпатаж,"[1, 2, 6, 18]",1.0
133058,CHICKEN HOUSE,"[25, 26]",26.0
156018,Кухня с акцентом,"[1, 5, 26]",5.0
121002,SUSHI5,[2],2.0
165910,АМАР САЙН,[25],25.0
24446,Панда,"[2, 40, 41]",40.0
83946,Kansai,"[1, 2, 40, 42]",2.0
101486,Sushin,"[2, 18]",2.0
158758,Baker Street,"[25, 43]",25.0
165326,Giros grill,"[6, 32]",6.0
63350,Шоколадница,"[26, 27, 34, 42, 43]",42.0
113494,Burger King,"[6, 26]",6.0
142186,Чайхона & Kebab,"[5, 44]",44.0
140606,Макдоналдс,"[6, 26]",6.0
113254,Burger King,"[6, 26]",6.0
165466,Оливер,"[1, 23, 34, 48]",23.0
175494,Doner House,"[19, 30]",19.0
123238,KFC,"[6, 26]",6.0
65206,Dostaевский,"[1, 2, 3, 18]",1.0
158918,Космопицца,[1],1.0
168458,ЛюдиЛюбят,"[3, 29, 30, 34]",30.0
147102,Subway,"[26, 29]",29.0
177258,Макдоналдс,"[6, 26]",6.0
142938,БЛИНБЕРИ,"[33, 34, 43]",43.0
171054,Мясо Огонь,"[5, 25, 43, 48]",43.0
114018,Sushi Star&Pizza,"[1, 2]",2.0
169766,Верный,,0.0
109218,Burger King,"[6, 26]",6.0
147882,Кебаб-бар,"[5, 25]",25.0
20286,BarBQ,"[5, 24, 25]",25.0
88594,MYBOX,"[1, 2, 18, 36, 51]",2.0
134606,PETRUCCIO,"[1, 23, 42]",1.0
135286,Макдоналдс,"[6, 26]",6.0
19550,СушиПОРТ,"[1, 2, 18, 20]",2.0
160606,Мангал Шаурма на углях,"[1, 5, 19, 47]",19.0
130766,Sushi Nyam,"[1, 2, 18, 40]",2.0
117734,ХИНkali,"[21, 25, 37]",37.0
70918,Оджахури,"[21, 37]",37.0
149218,Трэвелерс кофе,"[29, 34]",34.0
124470,ХОЧУ ШАУРМУ,[19],19.0
151262,Siesta-Cafe,"[5, 25, 34]",5.0
169226,BARELLI,"[1, 23, 30, 42]",42.0
118466,Burger King,"[6, 26]",6.0
46674,ШашлыкоFF,"[5, 23, 24, 25]",5.0
157650,Jan-pizza,"[1, 26, 40]",1.0
153394,Мацони,"[19, 37]",37.0
93502,Subway,"[26, 29]",29.0
68206,Папа Панда,"[1, 2, 18]",2.0
112062,Burger King,"[6, 26]",6.0
135302,Макдоналдс,"[6, 26]",6.0
118826,KFC,"[6, 26, 51]",6.0
113174,Burger King,"[6, 26]",6.0
175942,Dali,"[27, 29, 34]",27.0
160954,Донская пекарня,[30],30.0
156714,KFC,"[6, 26]",6.0
159566,Суша,"[2, 18, 40]",2.0
172546,Amici,"[1, 2]",2.0
108466,БЛИНМАСТЕР,"[43, 51]",43.0
161494,Мастер Шоколад,[27],27.0
120390,KFC,"[6, 26]",6.0
107954,СушКО,"[2, 18, 40]",2.0
17842,Угольки и Мясо,"[5, 24, 25]",5.0
